               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,             0.04052,            0.034489,           0.0011514,             0.55565,             0.49614,             0.48556,             0.19564,            0.034603,            0.029742,          0.00079986,           0.0085455,           0.0085455,           0.0085455
                 102,            0.040661,            0.035031,           0.0011802,             0.55036,              0.4964,             0.48429,             0.19634,            0.034592,            0.029743,          0.00080097,           0.0085309,           0.0085309,           0.0085309
                 103,            0.040358,             0.03415,             0.00113,             0.54174,             0.50286,             0.48522,             0.19663,            0.034578,            0.029731,          0.00080073,           0.0085164,           0.0085164,           0.0085164
                 104,            0.040475,            0.034385,           0.0010559,              0.5485,              0.5084,             0.48764,             0.19785,            0.034566,            0.029723,           0.0007995,           0.0085018,           0.0085018,           0.0085018
                 105,            0.040351,            0.033882,           0.0011821,             0.55321,             0.51738,             0.48764,             0.19771,            0.034554,            0.029712,          0.00079945,           0.0084873,           0.0084873,           0.0084873
                 106,            0.040501,            0.034577,           0.0011687,             0.54601,             0.51846,             0.48789,             0.19822,            0.034543,            0.029702,          0.00079814,           0.0084727,           0.0084727,           0.0084727
                 107,            0.040582,            0.034296,           0.0012509,             0.56145,             0.50309,             0.49008,             0.19845,            0.034526,             0.02969,          0.00079536,           0.0084582,           0.0084582,           0.0084582
                 108,            0.040564,            0.035218,           0.0011478,             0.55448,             0.50426,             0.48852,             0.19793,            0.034517,            0.029678,          0.00079463,           0.0084436,           0.0084436,           0.0084436
                 109,            0.040588,            0.034899,           0.0012067,             0.54862,             0.50558,             0.48885,             0.19817,            0.034508,             0.02967,          0.00079295,           0.0084291,           0.0084291,           0.0084291
                 110,            0.040825,            0.034642,            0.001174,             0.55208,              0.5089,             0.49017,             0.19845,            0.034498,             0.02966,          0.00079212,           0.0084145,           0.0084145,           0.0084145
                 111,            0.040475,            0.035081,           0.0010908,             0.54893,             0.50844,             0.49131,              0.1986,            0.034489,             0.02965,          0.00079221,              0.0084,              0.0084,              0.0084
                 112,            0.040621,            0.034234,           0.0010973,             0.55084,             0.50965,             0.48748,             0.19797,             0.03448,            0.029637,           0.0007915,           0.0083855,           0.0083855,           0.0083855
                 113,            0.040476,            0.034397,            0.001235,             0.54736,             0.50966,             0.48909,             0.19895,             0.03447,            0.029627,          0.00079099,           0.0083709,           0.0083709,           0.0083709
                 114,            0.040313,            0.034282,           0.0010207,             0.54652,             0.51104,             0.48956,             0.19924,             0.03446,            0.029614,          0.00078908,           0.0083564,           0.0083564,           0.0083564
                 115,            0.040131,            0.033497,           0.0011389,             0.54513,             0.50405,             0.48839,             0.19916,            0.034451,            0.029605,          0.00078812,           0.0083418,           0.0083418,           0.0083418
                 116,              0.0405,            0.034663,           0.0011335,             0.54903,             0.51152,             0.48986,              0.1991,            0.034443,            0.029596,          0.00078816,           0.0083273,           0.0083273,           0.0083273
                 117,             0.04027,            0.034121,           0.0010601,             0.55173,             0.50888,             0.49025,             0.19956,            0.034435,            0.029588,          0.00078726,           0.0083127,           0.0083127,           0.0083127
                 118,            0.040447,            0.034577,           0.0010674,             0.55359,              0.5037,                0.49,             0.19968,            0.034427,            0.029578,          0.00078692,           0.0082982,           0.0082982,           0.0082982
                 119,             0.04012,            0.033225,           0.0010892,               0.551,             0.50249,             0.48967,              0.1995,            0.034419,            0.029568,          0.00078602,           0.0082836,           0.0082836,           0.0082836
                 120,            0.040694,            0.034423,           0.0011982,             0.55037,             0.50278,             0.48942,             0.19951,            0.034412,            0.029555,          0.00078582,           0.0082691,           0.0082691,           0.0082691
                 121,            0.040368,            0.034035,           0.0010598,              0.5475,             0.50493,             0.48986,             0.19972,            0.034404,            0.029549,           0.0007859,           0.0082545,           0.0082545,           0.0082545
                 122,            0.040273,            0.034292,           0.0010375,             0.54679,             0.50535,             0.49044,             0.20046,            0.034397,            0.029535,          0.00078588,             0.00824,             0.00824,             0.00824
                 123,            0.040146,            0.034497,           0.0010424,             0.54351,             0.50583,             0.49071,             0.20042,            0.034389,            0.029524,          0.00078484,           0.0082255,           0.0082255,           0.0082255
                 124,             0.04043,            0.034101,          0.00098618,             0.54465,             0.50563,             0.49362,             0.20116,             0.03438,            0.029513,          0.00078387,           0.0082109,           0.0082109,           0.0082109
                 125,            0.040206,            0.033481,          0.00096267,             0.54932,             0.50033,              0.4932,              0.2014,            0.034372,            0.029503,          0.00078291,           0.0081964,           0.0081964,           0.0081964
                 126,            0.040372,            0.034429,           0.0010422,             0.55081,             0.49964,             0.49345,             0.20224,            0.034363,            0.029488,          0.00078209,           0.0081818,           0.0081818,           0.0081818
                 127,            0.040126,             0.03391,           0.0010368,             0.55529,             0.50209,             0.49404,             0.20304,            0.034354,             0.02948,          0.00078079,           0.0081673,           0.0081673,           0.0081673
                 128,            0.040364,            0.034287,          0.00097191,              0.5512,             0.50844,             0.49407,             0.20354,            0.034344,            0.029467,          0.00077941,           0.0081527,           0.0081527,           0.0081527
                 129,            0.040115,            0.034252,          0.00091849,             0.55326,             0.50562,             0.49351,              0.2038,            0.034335,            0.029455,           0.0007782,           0.0081382,           0.0081382,           0.0081382
                 130,            0.039975,            0.034119,          0.00096063,             0.55171,              0.5102,             0.49622,             0.20397,            0.034325,            0.029445,          0.00077778,           0.0081236,           0.0081236,           0.0081236
                 131,            0.040025,            0.034167,            0.001046,             0.55399,             0.51081,              0.4967,             0.20433,            0.034316,            0.029436,          0.00077732,           0.0081091,           0.0081091,           0.0081091
                 132,            0.040051,            0.034079,          0.00098136,             0.54776,             0.50962,             0.49619,             0.20444,            0.034308,            0.029428,          0.00077702,           0.0080945,           0.0080945,           0.0080945
                 133,            0.040313,            0.034921,          0.00093355,             0.54489,             0.51176,             0.49689,             0.20487,              0.0343,            0.029419,          0.00077677,             0.00808,             0.00808,             0.00808
                 134,            0.039957,            0.034254,           0.0010667,              0.5455,             0.50983,             0.49642,             0.20489,            0.034291,             0.02941,          0.00077577,           0.0080655,           0.0080655,           0.0080655
                 135,            0.040154,            0.033866,           0.0010296,             0.54562,             0.51033,             0.49593,              0.2052,            0.034282,            0.029397,          0.00077587,           0.0080509,           0.0080509,           0.0080509
                 136,            0.040448,            0.034873,           0.0010917,             0.54377,             0.50922,             0.49607,             0.20533,            0.034273,            0.029389,          0.00077579,           0.0080364,           0.0080364,           0.0080364
                 137,            0.040158,            0.034555,          0.00090466,             0.54342,             0.51021,             0.49795,             0.20544,            0.034266,             0.02938,          0.00077613,           0.0080218,           0.0080218,           0.0080218
