               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.021446,           0.0039606,            0.016099,             0.64118,             0.58172,             0.61261,              0.3206,            0.020198,           0.0031589,            0.016027,           0.0089714,           0.0089714,           0.0089714
                  92,            0.021465,           0.0037831,            0.016542,             0.60215,             0.61453,             0.60427,             0.32529,            0.019599,           0.0030676,            0.016068,             0.00896,             0.00896,             0.00896
                  93,            0.021622,           0.0041492,            0.015857,             0.63873,             0.58957,             0.61429,             0.33941,            0.018969,           0.0031135,            0.013141,           0.0089486,           0.0089486,           0.0089486
                  94,             0.02195,           0.0042853,            0.016488,             0.60332,             0.63193,             0.64681,             0.36464,            0.018459,           0.0030989,             0.01363,           0.0089371,           0.0089371,           0.0089371
                  95,            0.021328,           0.0039658,            0.015255,             0.65612,             0.57808,             0.61933,             0.33905,            0.019636,           0.0030797,            0.013801,           0.0089257,           0.0089257,           0.0089257
                  96,            0.021302,           0.0038183,            0.014202,             0.66527,             0.57589,             0.60743,             0.32656,            0.019497,           0.0030323,            0.015781,           0.0089143,           0.0089143,           0.0089143
                  97,            0.020905,           0.0038576,            0.015135,             0.60375,             0.56549,             0.59328,             0.31187,            0.019639,           0.0032671,            0.016053,           0.0089029,           0.0089029,           0.0089029
                  98,            0.021542,           0.0037756,            0.015565,             0.63641,             0.58251,               0.618,             0.32799,            0.019518,           0.0033214,            0.016674,           0.0088914,           0.0088914,           0.0088914
                  99,            0.021464,            0.003816,             0.01468,             0.65317,              0.6011,             0.64253,             0.34557,            0.019396,           0.0030856,            0.015227,             0.00888,             0.00888,             0.00888
                 100,            0.021297,           0.0037451,            0.014862,             0.60435,             0.62355,             0.61477,             0.33823,            0.019306,           0.0030683,            0.015278,           0.0088686,           0.0088686,           0.0088686
                 101,            0.021093,           0.0039224,            0.014582,              0.6007,              0.5934,             0.59942,             0.31533,            0.020119,           0.0030188,            0.018325,           0.0088571,           0.0088571,           0.0088571
                 102,            0.021168,           0.0039465,            0.014852,             0.60363,             0.61467,             0.61872,             0.33731,            0.019112,           0.0031955,            0.015534,           0.0088457,           0.0088457,           0.0088457
                 103,            0.021305,           0.0038209,            0.014358,             0.65754,             0.57892,             0.61568,             0.33292,            0.019023,           0.0030464,            0.014697,           0.0088343,           0.0088343,           0.0088343
                 104,            0.020887,           0.0036186,            0.014566,             0.69901,             0.62474,             0.66589,             0.35785,            0.019094,           0.0030085,            0.013192,           0.0088229,           0.0088229,           0.0088229
                 105,            0.020975,           0.0039323,            0.014108,             0.65615,             0.60738,             0.64812,             0.35771,             0.01923,           0.0029896,            0.014257,           0.0088114,           0.0088114,           0.0088114
                 106,            0.020826,           0.0039017,            0.013927,             0.64597,             0.61731,             0.64637,             0.35625,             0.01931,           0.0030221,            0.013182,              0.0088,              0.0088,              0.0088
                 107,            0.020956,           0.0037533,            0.013764,             0.63278,             0.60718,             0.62184,             0.33948,            0.019205,           0.0029827,             0.01574,           0.0087886,           0.0087886,           0.0087886
                 108,            0.020851,           0.0037602,            0.014269,             0.69745,             0.62743,             0.67194,             0.38106,            0.018702,           0.0029467,            0.014114,           0.0087771,           0.0087771,           0.0087771
                 109,            0.021895,           0.0038748,            0.015863,             0.61334,             0.61551,             0.62404,             0.34186,            0.019237,           0.0030327,            0.016968,           0.0087657,           0.0087657,           0.0087657
                 110,            0.021121,           0.0037279,            0.014078,             0.66527,             0.67216,             0.68692,             0.37922,            0.018822,           0.0030392,            0.012174,           0.0087543,           0.0087543,           0.0087543
                 111,            0.020995,           0.0038587,            0.014314,             0.62911,              0.5984,             0.62134,             0.33598,            0.019318,            0.003078,            0.016021,           0.0087429,           0.0087429,           0.0087429
                 112,            0.020792,           0.0036973,            0.012705,             0.68485,             0.61465,             0.65997,             0.36738,            0.018653,           0.0030407,            0.014228,           0.0087314,           0.0087314,           0.0087314
